U.S. Crude Oil Reserves New Field Discoveries
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=RCRR08NUS_1&f=A
18:10:20 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Year,U.S. Crude Oil Reserves New Field Discoveries Million Barrels
2015,20
2014,151
2013,188
2012,53
2011,477
2010,88
2009,122
2008,142
2007,66
2006,30
2005,205
2004,33
2003,705
2002,300
2001,1407
2000,276
1999,321
1998,152
1997,637
1996,243
1995,114
1994,64
1993,319
1992,8
1991,97
1990,98
1989,112
1988,71
1987,96
1986,48
1985,84
1984,242
1983,105
1982,204
1981,254
1980,143
1979,108
1978,267
1977,168
