U.S. Natural Gas Plant Liquids Reserves New Field Discoveries
https://www.eia.gov/dnav/ng/hist/rl2r08nus_1a.htm
18:27:45 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Plant Liquids Reserves New Field Discoveries Million Barrels
2008,65
2007,30
2006,16
2005,32
2004,26
2003,35
2002,48
2001,138
2000,92
1999,51
1998,66
1997,114
1996,65
1995,52
1994,54
1993,24
1992,20
1991,25
1990,39
1989,83
1988,41
1987,39
1986,34
1985,44
1984,55
1983,70
1982,112
1981,131
1980,90
1979,94
