"Crude Oil Proved Reserves 2018"
"https://www.eia.gov/beta/international/rankings/#?prodact=57-6&cy=2018"
"Sun Oct 27 2019 18:53:18 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"Units: billion barrels"
,Ranking,Country,Value,Percent
,1,"Venezuela",302,18
,2,"Saudi Arabia",266,16
,3,"Canada",171,10
,4,"Iran",157,9
,5,"Iraq",149,9
,6,"Kuwait",102,6
,7,"United Arab Emirates",98,6
,8,"Russia",80,5
,9,"Libya",48,3
,10,"United States",42,3
,11,"Nigeria",37,2
,12,"Kazakhstan",30,2
,13,"China",26,2
,14,"Qatar",25,2
,15,"Brazil",13,1
,16,"Algeria",12,1
,17,"Angola",9.5,1
,18,"Ecuador",8.3,0
,19,"Norway",7.7,0
,20,"Mexico",7.2,0
,21,"Azerbaijan",7,0
,22,"Oman",5.4,0
,23,"Sudan",5,0
,24,"India",4.5,0
,25,"Vietnam",4.4,0
,26,"Malaysia",3.6,0
,27,"Egypt",3.6,0
,28,"Indonesia",3.3,0
,29,"Yemen",3,0
,30,"Syria",2.5,0
,30,"Uganda",2.5,0
,30,"United Kingdom",2.5,0
,33,"Australia",2.4,0
,34,"Argentina",2.2,0
,35,"Gabon",2,0
,36,"Colombia",1.7,0
,37,"Congo (Brazzaville)",1.6,0
,38,"Chad",1.5,0
,39,"Peru",1.2,0
,40,"Brunei",1.1,0
,40,"Equatorial Guinea",1.1,0
,42,"Ghana",0.7,0
,43,"Romania",0.6,0
,43,"Turkmenistan",0.6,0
,45,"Uzbekistan",0.6,0
,46,"Italy",0.5,0
,47,"Denmark",0.4,0
,48,"Tunisia",0.4,0
,49,"Ukraine",0.4,0
,50,"Thailand",0.3,0
,51,"Turkey",0.3,0
,52,"Pakistan",0.3,0
,53,"Trinidad and Tobago",0.2,0
,54,"Bolivia",0.2,0
,55,"Cameroon",0.2,0
,56,"Belarus",0.2,0
,57,"Papua New Guinea",0.2,0
,58,"Congo (Kinshasa)",0.2,0
,59,"Albania",0.2,0
,60,"Chile",0.2,0
,60,"Niger",0.2,0
,60,"Spain",0.2,0
,63,"Burma (Myanmar)",0.1,0
,64,"Philippines",0.1,0
,65,"Germany",0.1,0
,66,"Poland",0.1,0
,67,"Bahrain",0.1,0
,68,"Cuba",0.1,0
,69,"Cote dIvoire (IvoryCoast)",0.1,0
,--,"Suriname",(s),0
,--,"Guatemala",(s),0
,--,"Netherlands",(s),0
,--,"Serbia",(s),0
,--,"Croatia",(s),0
,--,"France",(s),0
,--,"New Zealand",(s),0
,--,"Japan",(s),0
,--,"Austria",(s),0
,--,"Kyrgyzstan",(s),0
,--,"Georgia",(s),0
,--,"Bangladesh",(s),0
,--,"Hungary",(s),0
,--,"Mauritania",(s),0
,--,"Bulgaria",(s),0
,--,"Czech Republic",(s),0
,--,"South Africa",(s),0
,--,"Israel",(s),0
,--,"Lithuania",(s),0
,--,"Tajikistan",(s),0
,--,"Greece",(s),0
,--,"Slovakia",(s),0
,--,"Benin",(s),0
,--,"Belize",(s),0
,--,"Barbados",(s),0
,--,"Taiwan",(s),0
,--,"Jordan",(s),0
,--,"Morocco",(s),0
,--,"Ethiopia",(s),0
,--,"Afghanistan",0,0
,--,"American Samoa",0,0
,--,"Antarctica",0,0
,--,"Antigua and Barbuda",0,0
,--,"Armenia",0,0
,--,"Aruba",0,0
,--,"Bahamas, The",0,0
,--,"Belgium",0,0
,--,"Bermuda",0,0
,--,"Bhutan",0,0
,--,"Bosnia and Herzegovina",0,0
,--,"Botswana",0,0
,--,"Burkina Faso",0,0
,--,"Burundi",0,0
,--,"Cambodia",0,0
,--,"Cape Verde",0,0
,--,"Cayman Islands",0,0
,--,"Central African Republic",0,0
,--,"Comoros",0,0
,--,"Cook Islands",0,0
,--,"Costa Rica",0,0
,--,"Cyprus",0,0
,--,"Djibouti",0,0
,--,"Dominica",0,0
,--,"Dominican Republic",0,0
,--,"El Salvador",0,0
,--,"Eritrea",0,0
,--,"Estonia",0,0
,--,"Falkland Islands (Islas Malvinas)",0,0
,--,"Faroe Islands",0,0
,--,"Fiji",0,0
,--,"Finland",0,0
,--,"French Guiana",0,0
,--,"French Polynesia",0,0
,--,"Gambia, The",0,0
,--,"Gibraltar",0,0
,--,"Greenland",0,0
,--,"Grenada",0,0
,--,"Guadeloupe",0,0
,--,"Guam",0,0
,--,"Guinea",0,0
,--,"Guinea-Bissau",0,0
,--,"Guyana",0,0
,--,"Haiti",0,0
,--,"Honduras",0,0
,--,"Hong Kong",0,0
,--,"Iceland",0,0
,--,"Ireland",0,0
,--,"Jamaica",0,0
,--,"Kenya",0,0
,--,"Kiribati",0,0
,--,"Korea, North",0,0
,--,"Laos",0,0
,--,"Latvia",0,0
,--,"Lebanon",0,0
,--,"Lesotho",0,0
,--,"Liberia",0,0
,--,"Luxembourg",0,0
,--,"Macau",0,0
,--,"Macedonia",0,0
,--,"Madagascar",0,0
,--,"Malawi",0,0
,--,"Maldives",0,0
,--,"Mali",0,0
,--,"Malta",0,0
,--,"Martinique",0,0
,--,"Mauritius",0,0
,--,"Moldova",0,0
,--,"Montenegro",0,0
,--,"Montserrat",0,0
,--,"Mozambique",0,0
,--,"Namibia",0,0
,--,"Nauru",0,0
,--,"Nepal",0,0
,--,"Netherlands Antilles",0,0
,--,"New Caledonia",0,0
,--,"Nicaragua",0,0
,--,"Niue",0,0
,--,"Palestinian Territories",0,0
,--,"Panama",0,0
,--,"Paraguay",0,0
,--,"Portugal",0,0
,--,"Puerto Rico",0,0
,--,"Reunion",0,0
,--,"Rwanda",0,0
,--,"Saint Helena",0,0
,--,"Saint Kitts and Nevis",0,0
,--,"Saint Lucia",0,0
,--,"Saint Pierre and Miquelon",0,0
,--,"Saint Vincent/Grenadines",0,0
,--,"Samoa",0,0
,--,"Sao Tome and Principe",0,0
,--,"Senegal",0,0
,--,"Seychelles",0,0
,--,"Sierra Leone",0,0
,--,"Singapore",0,0
,--,"Slovenia",0,0
,--,"Solomon Islands",0,0
