"Proved Reserves of Natural Gas 2017"
"https://www.eia.gov/beta/international/rankings/#?prodact=3-6&cy=2017&pid=3&aid=6&tl_id=6-A&tl_type=a"
"Sun Oct 27 2019 18:55:15 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"Units: Trillion Cubic Feet"
,Ranking,Country,Value,Percent
,1,"Russia",1688,24
,2,"Iran",1183,17
,3,"Qatar",858,12
,4,"United States",322,5
,5,"Saudi Arabia",303,4
,6,"Turkmenistan",265,4
,7,"United Arab Emirates",215,3
,8,"Venezuela",201,3
,9,"Nigeria",187,3
,10,"China",184,3
,11,"Algeria",159,2
,12,"Iraq",112,2
,13,"Mozambique",100,1
,14,"Indonesia",98,1
,15,"Kazakhstan",85,1
,16,"Egypt",77,1
,17,"Canada",77,1
,18,"Australia",70,1
,19,"Norway",66,1
,20,"Uzbekistan",65,1
,21,"Kuwait",63,1
,22,"Libya",53,1
,23,"India",43,1
,24,"Malaysia",42,1
,25,"Ukraine",39,1
,26,"Azerbaijan",35,1
,27,"Netherlands",28,0
,28,"Vietnam",25,0
,29,"Oman",23,0
,30,"Burma (Myanmar)",23,0
,31,"Pakistan",19,0
,32,"Yemen",17,0
,33,"Brazil",15,0
,34,"Peru",14,0
,35,"Mexico",12,0
,36,"Argentina",11,0
,37,"Angola",11,0
,38,"Trinidad and Tobago",11,0
,39,"Bolivia",10,0
,40,"Brunei",9.2,0
,41,"Syria",8.5,0
,42,"United Kingdom",7.3,0
,43,"Thailand",7.3,0
,44,"Bangladesh",7.3,0
,45,"Israel",6.2,0
,46,"Papua New Guinea",5,0
,47,"Cameroon",4.8,0
,48,"Colombia",4.4,0
,49,"Romania",3.7,0
,50,"Philippines",3.5,0
,51,"Chile",3.5,0
,52,"Bahrain",3.3,0
,53,"Congo (Brazzaville)",3.2,0
,54,"Sudan",3,0
,55,"Poland",2.9,0
,56,"Cuba",2.5,0
,57,"Tunisia",2.3,0
,58,"Namibia",2.2,0
,59,"Rwanda",2,0
,60,"Afghanistan",1.8,0
,61,"Italy",1.7,0
,62,"Serbia",1.7,0
,63,"Germany",1.5,0
,64,"Equatorial Guinea",1.3,0
,65,"New Zealand",1.3,0
,66,"Cote dIvoire (IvoryCoast)",1,0
,66,"Gabon",1,0
,66,"Mauritania",1,0
,69,"Croatia",0.9,0
,69,"Ethiopia",0.9,0
